Number of Fairs Attended,Internship Applications,Job Applications,Fellowship Applications,Graduate School,Cooperative Education,Experiential Learning,On Campus Student Employment,Volunteer,First Gen,College_fds_2024,Number of Internships,Career Readiness,Alignment,Q10.4_fds_2024,Q10.5_fds_2024
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
11,39.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,True,,,,,,
33,180.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
3,588.0,668.0,4.0,0.0,0.0,16.0,4.0,0.0,False,College and Graduate School of Arts & Sciences,3+,5.0,7.0,3.0,8.0
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,228.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,College and Graduate School of Arts & Sciences,3+,10.0,10.0,10.0,10.0
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,False,,,,,,
7,92.0,16.0,0.0,0.0,0.0,20.0,0.0,0.0,False,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,False,College and Graduate School of Arts & Sciences,1,9.0,10.0,9.0,7.0
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,False,,,,,,
6,120.0,54.0,0.0,0.0,0.0,0.0,3.0,0.0,True,College and Graduate School of Arts & Sciences,3+,2.0,10.0,8.0,6.0
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
3,159.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,False,School of Data Science,1,6.0,6.0,5.0,7.0
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,342.0,1476.0,0.0,0.0,0.0,0.0,66.0,0.0,True,,,,,,
1,,,,,,,,,,,,,,,
1,56.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
2,,,,,,,,,,,,,,,
1,0.0,42.0,0.0,0.0,0.0,0.0,2.0,0.0,False,,,,,,
2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
