,avg_unemployment,survey_year,Auth Identifier,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg
3556,3.6,2023,keh6yu,Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0,4,3.6,0,0,0,0,0,0
3557,3.6,2023,cjb5ct,Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0,125,,0,1,0,0,0,1
3558,3.6,2023,cjb5ct,Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0,125,3.64,0,1,0,0,0,1
3559,3.6,2023,msb3ez,Working,0,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,0,2,,0,0,0,0,0,0
3560,3.6,2023,npl2ku,Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1,1,,0,1,0,0,0,0
3561,3.6,2023,kw4aq,Still Looking,0,English,Female,College and Graduate School of Arts & Sciences,0,0,2,,0,0,0,1,0,0
3562,3.6,2023,jce5jy,Working,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0,2,3.6,0,1,0,0,0,0
3563,3.6,2023,acm6uj,Working,1,Latin American Studies,Male,College and Graduate School of Arts & Sciences,1,1,104,3.6,0,1,0,0,0,1
3564,3.6,2023,kpk8buj,Working,1,Environmental Sciences,Male,College and Graduate School of Arts & Sciences,1,0,25,,0,1,0,0,0,0
3565,3.6,2023,mmg5ypw,Continuing Education,1,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1,1,,0,1,1,0,0,0
3566,3.6,2023,blw5r,Still Looking,0,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,0,1,0,,0,0,0,1,0,0
3567,3.6,2023,srl5gxm,Continuing Education,3,Biology,Female,College and Graduate School of Arts & Sciences,0,1,0,,0,1,1,0,0,0
3568,3.6,2023,pjy4rf,Continuing Education,1,Education - Elementary Education,Female,School of Education and Human Development,0,2,38,,0,1,1,0,1,0
3569,3.6,2023,bto5fs,Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0,16,4.23,0,1,0,0,0,0
3570,3.6,2023,bto5fs,Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0,16,3.86,0,1,0,0,0,0
3571,3.6,2023,ybj9uy,Continuing Education,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,0,2,3.77,0,0,1,0,0,0
3572,3.6,2023,ybj9uy,Continuing Education,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,0,2,,0,0,1,0,0,0
3573,3.6,2023,ajr2pnd,Continuing Education,1,Economics,Male,College and Graduate School of Arts & Sciences,0,1,101,3.7,0,1,1,0,0,1
3574,3.6,2023,ajr2pnd,Continuing Education,1,Economics,Male,College and Graduate School of Arts & Sciences,0,1,101,3.5,0,1,1,0,0,1
3575,3.6,2023,jm8gw,Still Looking,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,3,31,3.7,1,1,0,1,1,0
3576,3.6,2023,jm8gw,Still Looking,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,3,31,4.5,1,1,0,1,1,0
3577,3.6,2023,ar3fx,Working,0,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,0,0,,0,0,0,0,0,0
3578,3.6,2023,ar3fx,Working,0,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,0,0,3.57,0,0,0,0,0,0
3579,3.6,2023,ar3fx,Working,0,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,0,0,4.0,0,0,0,0,0,0
3580,3.6,2023,fmp5hd,Working,1,Economics,Female,College and Graduate School of Arts & Sciences,1,0,2,,0,1,0,0,0,0
3581,3.6,2023,yj5qd,Continuing Education,3,Economics,Female,College and Graduate School of Arts & Sciences,0,0,6,3.86,1,1,1,0,0,0
3582,3.6,2023,bjc9szy,Working,3,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0,10,3.97,0,1,0,0,0,0
3583,3.6,2023,bjc9szy,Working,3,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0,10,4.54,0,1,0,0,0,0
3584,3.6,2023,tc9ems,Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1,4,,0,0,0,0,0,0
3585,3.6,2023,yg9ca,Working,0,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,0,0,,0,0,0,0,0,0
3586,3.6,2023,wms4ga,Working,3,Applied Statistics,Female,College and Graduate School of Arts & Sciences,1,1,27,3.57,1,1,0,0,0,0
3587,3.6,2023,cgk3mry,Working,1,Psychology,Female,College and Graduate School of Arts & Sciences,1,2,59,,0,1,0,0,1,1
3588,3.6,2023,cs2zzt,Working,2,Media Studies,Female,College and Graduate School of Arts & Sciences,1,2,198,,0,1,0,0,1,1
3589,3.6,2023,aa9sc,Working,0,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,1,7,3.45,0,0,0,0,0,0
3590,3.6,2023,kht3ze,Not Seeking,0,English,Male,College and Graduate School of Arts & Sciences,0,0,0,,0,0,0,0,0,0
3591,3.6,2023,mmr8crb,Still Looking,2,Architecture,Female,School of Architecture,0,0,0,3.81,0,1,0,1,0,0
3592,3.6,2023,lfb6ek,Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1,28,3.7,0,1,0,0,0,0
3593,3.6,2023,rel6tap,Still Looking,0,English,Female,College and Graduate School of Arts & Sciences,0,0,8,3.6,0,0,0,1,0,0
3594,3.6,2023,vzl7ka,Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0,8,3.95,0,1,0,0,0,0
3595,3.6,2023,aar4mz,Working,1,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,2,64,,0,1,0,0,1,1
3596,3.6,2023,jag6wr,Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,0,0,3.87,0,1,0,0,0,0
3597,3.6,2023,jag6wr,Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,0,0,4.17,0,1,0,0,0,0
3598,3.6,2023,lt2xp,Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,0,0,3.64,0,1,0,0,0,0
3599,3.6,2023,dew3jy,Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,2,26,3.76,0,1,0,0,1,0
