Q10.1_fds_2024,Number of Internships,How many internships (summer and/or academic year) did you have while attending the University of Virginia?_fds_2021,"If you participated in internships, how many internships did you have while attending the University of Virginia?_fds_2022",Primary Major,Recipient Primary Major_fds_2022,Recipient Primary Majors_fds_2021,First Gen,College_fds_2024,Career Readiness,Q5.4_fds_2024,Alignment,Q10.4_fds_2024,Q10.5_fds_2024,time of IPP,num_fairs,num_appointments,num_events_signed_up,num_events_checked_in,Internship Applications,Job Applications,On Campus Student Employment,Volunteer,Fellowship_application,Graduate School,Cooperative Education,Experiential Learning
,,,,,,Computer Science - Interdisciplinary,,,,,,,,,1.0,340.0,5.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Commerce,,,False,,,,,,,,18.0,,3.0,3.0,102.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Cognitive Science - Interdisciplinary,,False,,,,,,,,1.0,85.0,13.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,2,,,Engineering - Chemical Engineering,,,False,,,,,,,,1.0,245.0,5.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,,,Architecture,,False,,,,,,,,1.0,,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Nursing,,,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Global Studies - Interdisciplinary,,,,,,,,,1.0,,1.0,1.0,,,,,,,,
,,,,,Engineering - Computer Science,,False,,,,,,,,1.0,,2.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,0,,Engineering - Computer Science,,False,,,,,,,,1.0,,,,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Education - Speech Communication Disorders,,,False,,,,,,,,1.0,,,,,,,,,,,
0,0,,,Psychology,,,False,School of Education and Human Development,7.0,,10.0,2.0,8.0,,1.0,,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Engineering - Computer Science,,,,,,,,,1.0,,2.0,0.0,,,,,,,,
,,,,,,,False,,,,,,,,6.0,21.0,3.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Commerce,,,True,,,,,,,,1.0,,22.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,1.0,50.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,College and Graduate School of Arts & Sciences,,,,,,,8.0,,8.0,6.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,2.0
,,,,,,Sociology,True,,,,,,,,2.0,590.0,2.0,0.0,,,,,,,,
,,,0,,Education - Curriculum & Instruction,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Engineering - Systems Engineering,,,,,,,,,1.0,84.0,3.0,1.0,,,,,,,,
,,,,,,Education - Speech Communication Disorders,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Global Studies - Interdisciplinary,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,False,,,,,,,,10.0,,14.0,4.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,['Spring 22'],48.0,1030.0,34.0,4.0,216.0,50.0,50.0,1.0,8.0,0.0,0.0,1.0
,,,,Biology,,,,,,,,,,,1.0,,,,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0,,,,,,,False,College and Graduate School of Arts & Sciences,7.0,,9.0,10.0,9.0,,1.0,28.0,1.0,1.0,,,,,,,,
,3+,,,Engineering - Computer Science,,,False,,,,,,,,2.0,,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Commerce,,,False,,,,,,,,1.0,,16.0,0.0,122.0,170.0,0.0,0.0,0.0,0.0,0.0,2.0
1,,,,,,,False,College and Graduate School of Arts & Sciences,8.0,,9.0,8.0,7.0,,1.0,,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,,Computer Science - Interdisciplinary,,,False,,,,,,,,1.0,95.0,2.0,1.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Biology,,,,,,,,,1.0,,,,,,,,,,,
